,0
0,15
1,25
2,38
3,41
4,67
5,38
6,113
7,43
8,26
9,31
10,12
11,44
12,32
13,90
14,46
15,26
16,90
17,14
18,61
19,15
20,91
21,43
22,66
23,28
24,43
25,69
26,49
27,20
28,37
29,23
30,18
31,55
32,40
33,15
34,51
35,17
36,16
37,31
38,22
39,15
40,27
41,30
42,18
43,113
44,36
45,25
46,12
47,22
48,55
49,44
50,46
51,22
52,22
53,75
54,16
55,13
56,43
57,14
58,14
59,51
60,33
61,16
62,104
63,31
64,26
65,15
66,26
67,56
68,38
69,18
70,41
71,16
72,67
73,80
74,32
75,31
76,26
77,48
78,12
79,12
80,28
81,29
82,24
83,42
84,22
85,29
86,30
87,12
88,14
89,23
90,60
91,27
92,26
93,25
94,111
95,83
96,26
97,23
98,21
99,23
