,0
0,77
1,24
2,50
3,37
4,38
5,32
6,36
7,45
8,65
9,16
10,87
11,42
12,30
13,27
14,21
15,25
16,42
17,14
18,37
19,47
20,16
21,64
22,48
23,26
24,46
25,22
26,48
27,49
28,86
29,18
30,31
31,24
32,32
33,75
34,32
35,44
36,42
37,27
38,46
39,15
40,29
41,18
42,27
43,57
44,33
45,32
46,24
47,22
48,28
49,56
50,55
51,19
52,24
53,53
54,28
55,18
56,16
57,28
58,41
59,18
60,24
61,72
62,14
63,43
64,25
65,35
66,51
67,46
68,39
69,25
70,14
71,18
72,23
73,27
74,32
75,30
76,33
77,16
78,40
79,16
80,66
81,41
82,40
83,48
84,34
85,28
86,16
87,68
88,41
89,47
90,55
91,18
92,50
93,29
94,84
95,33
96,35
97,18
98,32
99,59
